Name,p-condition,min p-effect,min time,max p-effect,max time,def time,max repetitions
Tell-Class,(0.1;0.6),,,(0.4;0.2),15,,1
DDP,(0.0;0.2),,,(0.05;0.3),15,,1
Pract-Rememb,(0.2;0.2),(0.2;0.0),10,(0.5;0.0),30,15,2
Pract-Apply,(0.2;0.4),(0.3;0.1),10,(0.5;0.12),20,15,2
Pract-Analys,(0.2;0.5),(0.3;0.2),10,(0.5;0.35),20,15,2
Pract-Evalua,(0.2;0.5),(0.25;0.15),10,(0.4;0.2),20,15,2
Pract-Creati,(0.2;0.6),(0.2;0.1),15,(0.5;0.2),45,30,2
AdvOrgan,(0.0;0.0),(0.05;0.05),5,(0.07;0.05),10,5,1
Introduction,(0.0;0.0),(0.05;0.05),5,(0.1;0.1),10,5,1
Explain-Class,(0.05;0.2),,,(0.05;0.1),10,,1
